trialNumber fingerIndex targetForce tolerance upper lower deadline reactingtime result
1 3 1 0.5 3.6 0 1.8 1.8 0
2 0 1 0.5 3.6 1.3752 2.4876 0.8401909 1
3 1 1 0.5 3.6 1.3752 2.4876 1.960151 1
4 3 1 0.5 3.6 1.3752 2.4876 0.6397667 1
5 3 1 0.5 2.750126 1.3752 2.062663 1.000128 1
6 0 1 0.5 2.750126 1.3752 2.062663 0.6668825 1
7 1 1 0.5 2.750126 1.3752 2.062663 0.7067785 1
8 0 1 0.5 2.224905 1.3752 1.800052 0.6400681 1
9 2 1 0.5 2.224905 1.3752 1.800052 1.000233 1
10 1 1 0.5 2.224905 1.3752 1.800052 0.7063103 1
11 1 1 0.5 1.900317 1.3752 1.637759 0.599947 1
12 3 1 0.5 1.900317 1.3752 1.637759 0.5999775 1
13 1 1 0.5 1.900317 1.3752 1.637759 0.6666183 1
14 1 1 0.6 3.6 0 1.8 0.6400166 1
15 0 1 0.6 3.6 0 1.8 0.9332066 1
16 0 1 0.6 3.6 0 1.8 1.053432 1
17 1 1 0.6 2.2248 0 1.1124 0.5337486 1
18 1 1 0.6 2.2248 0 1.1124 0.613842 1
19 1 1 0.6 2.2248 0 1.1124 0.6399956 1
20 2 1 0.6 1.374926 0 0.6874631 0.6000996 1
21 1 1 0.6 1.374926 0 0.6874631 0.5997581 1
22 2 1 0.6 1.374926 0 0.6874631 0.6874631 0
23 2 1 0.6 1.374926 0.5252218 0.950074 0.622715 1
24 3 1 0.6 1.374926 0.5252218 0.950074 0.6537056 1
25 1 1 0.6 1.374926 0.5252218 0.950074 0.8934402 1
26 3 1 0.6 1.050339 0.5252218 0.7877805 0.7333717 1
27 2 1 0.6 1.050339 0.5252218 0.7877805 0.5333252 1
28 1 1 0.6 1.050339 0.5252218 0.7877805 0.760128 1
29 2 1 0.7 3.6 0 1.8 0.6400681 1
30 1 1 0.7 3.6 0 1.8 0.7600746 1
31 3 1 0.7 3.6 0 1.8 0.7600594 1
32 0 1 0.7 2.2248 0 1.1124 0.6933479 1
33 1 1 0.7 2.2248 0 1.1124 0.6403885 1
34 2 1 0.7 2.2248 0 1.1124 0.6398621 1
35 1 1 0.7 1.374926 0 0.6874631 0.6136093 1
36 1 1 0.7 1.374926 0 0.6874631 0.6874631 0
37 3 1 0.7 1.374926 0.5252218 0.950074 0.7600441 1
38 2 1 0.7 1.374926 0.5252218 0.950074 0.4934235 1
39 2 1 0.7 1.374926 0.5252218 0.950074 0.6535835 1
40 1 1 0.7 1.050339 0.5252218 0.7877805 0.5332298 1
41 1 1 0.7 1.050339 0.5252218 0.7877805 0.6536255 1
