trialNumber;fingerIndex;targetForce;tolerance;deadline;result;
1;1;1;0.2;1.8;1.8;0
2;0;1;0.2;2.7;2.7;0
3;1;1;0.2;3.15;2.196569;1
4;1;1;0.2;3.15;1.785295;1
5;1;1;0.2;3.15;1.528481;1
6;2;1;0.2;1.575;1.575;0
7;2;1;0.2;2.3625;1.207502;1
8;1;1;0.2;2.3625;2.152786;1
9;0;1;0.2;2.3625;2.197861;1
10;1;1;0.2;1.18125;1.18125;0
11;1;1;0.2;1.771875;1.045227;1
12;1;1;0.2;1.771875;1.244202;1
13;0;1;0.2;1.771875;1.771875;0
14;2;1;0.2;2.067187;2.067187;0
15;2;1;0.2;2.608593;1.853714;1
16;1;1;0.2;2.608593;2.608593;0
17;1;1;0.2;2.879297;2.008373;1
18;3;1;0.2;2.879297;1.454723;1
19;0;1;0.2;2.879297;1.859333;1
20;3;1;0.2;1.439648;1.439648;0
21;2;1;0.2;2.159472;2.159472;0
22;2;1;0.2;2.654736;2.654736;0
23;3;1;0.2;2.902368;1.972252;1
24;0;1;0.2;2.902368;1.774582;1
25;0;1;0.2;2.902368;1.646141;1
26;1;1;0.2;1.451184;1.451184;0
27;3;1;0.2;2.176776;2.176776;0
28;3;1;0.2;2.663388;0.2231445;1
29;0;1;0.2;2.663388;2.663388;0
30;1;1;0.2;2.906694;2.906694;0
31;0;1;0.2;3.028347;3.028347;0
32;2;1;0.2;3.089173;2.208122;1
33;0;1;0.2;3.089173;1.855415;1
34;1;1;0.2;3.089173;3.089173;0
35;0;1;0.2;3.119586;1.11834;1
36;3;1;0.2;3.119586;2.779282;1
37;0;1;0.2;3.119586;1.296883;1
38;0;1;0.2;1.559793;1.559793;0
39;1;1;0.2;2.33969;2.33969;0
40;0;1;0.2;2.729638;1.750175;1
41;1;1;0.2;2.729638;1.996864;1
42;3;1;0.2;2.729638;2.59951;1
43;2;1;0.2;1.364819;1.364819;0
44;0;1;0.2;2.047229;2.047229;0
45;0;1;0.2;2.388433;1.217056;1
46;2;1;0.2;2.388433;1.557442;1
47;1;1;0.2;2.388433;2.299362;1
48;1;1;0.2;1.194217;1.194217;0
49;0;1;0.2;1.791325;1.359665;1
50;3;1;0.2;1.791325;1.791325;0
51;3;1;0.2;2.089879;1.405533;1
52;2;1;0.2;2.089879;2.089879;0
53;2;1;0.2;2.239156;2.239156;0
54;2;1;0.2;2.313795;2.313795;0
55;0;1;0.2;2.351114;1.018219;1
56;0;1;0.2;2.351114;1.357285;1
57;2;1;0.2;2.351114;1.929565;1
58;0;1;0.2;1.175557;0.9850159;1
59;3;1;0.2;1.175557;1.175557;0
60;0;1;0.2;1.763336;0.9714661;1
61;1;1;0.2;1.763336;1.763336;0
62;1;1;0.2;2.057225;1.017136;1
63;0;1;0.2;2.057225;2.057225;0
64;2;1;0.2;2.20417;2.20417;0
65;2;1;0.2;2.277642;2.277642;0
