trialNumber;fingerIndex;targetForce;tolerance;deadline;result;
1;2;1;0.2;1.8;1.8;0
2;2;1;0.2;2.7;1.648267;1
3;0;1;0.2;2.7;2.034044;1
4;3;1;0.2;2.7;1.459225;1
5;2;1;0.2;1.35;1.039676;1
6;0;1;0.2;1.35;1.185701;1
7;3;1;0.2;1.35;1.19997;1
8;2;1;0.2;0.675;0.675;0
9;1;1;0.2;1.0125;1.0125;0
10;3;1;0.2;1.18125;1.18125;0
11;0;1;0.2;1.265625;1.265625;0
12;2;1;0.2;1.307812;0.6454544;1
13;0;1;0.2;1.307812;1.307812;0
14;1;1;0.2;1.328906;1.328906;0
15;3;1;0.2;1.339453;1.139214;1
16;2;1;0.2;1.339453;0.6750565;1
17;3;1;0.2;1.339453;0.9494076;1
18;3;1;0.2;0.6697265;0.6697265;0
19;2;1;0.2;1.00459;1.00459;0
20;2;1;0.2;1.172021;0.7813263;1
21;1;1;0.2;1.172021;1.172021;0
22;0;1;0.2;1.255737;1.256123;1
23;2;1;0.2;1.255737;1.255737;0
24;3;1;0.2;1.297595;1.297595;0
25;3;1;0.2;1.318524;1.318524;0
26;2;1;0.2;1.328989;1.328989;0
27;3;1;0.2;1.334221;1.334221;0
28;0;1;0.2;1.336837;1.336837;0
29;3;1;0.2;1.338145;1.338145;0
30;2;1;0.2;1.338799;1.338799;0
31;1;1;0.2;1.339126;1.339126;0
32;2;1;0.2;1.339289;1.339289;0
33;0;1;0.2;1.339371;1.339371;0
34;1;1;0.2;1.339412;1.339412;0
35;3;1;0.2;1.339432;1.339432;0
36;3;1;0.2;1.339443;0.4538841;1
37;0;1;0.2;1.339443;1.339443;0
38;3;1;0.2;1.339448;1.339448;0
39;2;1;0.2;1.33945;1.33945;0
40;1;1;0.2;1.339452;1.339452;0
41;2;1;0.2;1.339452;1.339452;0
42;0;1;0.2;1.339453;1.339453;0
43;2;1;0.2;1.339453;1.339453;0
44;3;1;0.2;1.339453;1.339453;0
45;3;1;0.2;1.339453;0.3928909;1
46;1;1;0.2;1.339453;1.339453;0
47;3;1;0.2;1.339453;1.339453;0
48;3;1;0.2;1.339453;1.339453;0
49;3;1;0.2;1.339453;0.9180374;1
50;2;1;0.2;1.339453;1.339453;0
51;2;1;0.2;1.339453;0.6855354;1
52;0;1;0.2;1.339453;1.339453;0
53;2;1;0.2;1.339453;0.6604996;1
54;1;1;0.2;1.339453;1.339453;0
55;2;1;0.2;1.339453;1.339453;0
56;3;1;0.2;1.339453;1.339453;0
57;3;1;0.2;1.339453;0.5487137;1
58;2;1;0.2;1.339453;1.339453;0
59;1;1;0.2;1.339453;1.339453;0
60;0;1;0.2;1.339453;1.339453;0
61;2;1;0.2;1.339453;1.339453;0
62;1;1;0.2;1.339453;1.339453;0
63;2;1;0.2;1.339453;1.339453;0
64;3;1;0.2;1.339453;1.339453;0
65;1;1;0.2;1.339453;1.339453;0
66;1;1;0.2;1.339453;0.7583771;1
67;0;1;0.2;1.339453;1.339453;0
68;0;1;0.2;1.339453;0.7844772;1
69;3;1;0.2;1.339453;1.339453;0
70;3;1;0.2;1.339453;1.084679;1
71;1;1;0.2;1.339453;1.339453;0
72;1;1;0.2;1.339453;1.286354;1
73;3;1;0.2;1.339453;1.339453;0
74;0;1;0.2;1.339453;1.339453;0
75;0;1;0.2;1.339453;1.339453;0
76;2;1;0.2;1.339453;1.333778;1
77;2;1;0.2;1.339453;1.339453;0
78;1;1;0.2;1.339453;1.339453;0
79;1;1;0.2;1.339453;0.6491318;1
80;0;1;0.2;1.339453;1.339453;0
81;3;1;0.2;1.339453;1.339453;0
82;1;1;0.2;1.339453;1.339453;0
83;2;1;0.2;1.339453;1.339453;0
84;3;1;0.2;1.339453;1.339453;0
85;2;1;0.2;1.339453;1.339453;0
86;3;1;0.2;1.339453;1.339453;0
87;0;1;0.2;1.339453;1.339453;0
88;3;1;0.2;1.339453;1.339453;0
89;0;1;0.2;1.339453;1.339453;0
90;3;1;0.2;1.339453;1.339453;0
91;0;1;0.2;1.339453;1.339453;0
92;2;1;0.2;1.339453;1.339453;0
93;0;1;0.2;1.339453;1.339453;0
94;1;1;0.2;1.339453;0.8354492;1
95;2;1;0.2;1.339453;1.339453;0
96;1;1;0.2;1.339453;1.339453;0
97;2;1;0.2;1.339453;1.339453;0
98;1;1;0.2;1.339453;1.339453;0
99;0;1;0.2;1.339453;1.339453;0
100;2;1;0.2;1.339453;1.339453;0
101;1;1;0.2;1.339453;1.339453;0
102;0;1;0.2;1.339453;1.339453;0
