trialNumber;fingerIndex;targetForce;tolerance;deadline;result;
1;0;1;0.2;1.8;1.8;0
2;2;1;0.2;2.7;1.01808;1
3;1;1;0.2;2.7;1.295776;1
4;3;1;0.2;2.7;2.7;0
5;0;1;0.2;3.15;1.748671;1
6;2;1;0.2;3.15;1.18662;1
7;0;1;0.2;3.15;0.9831762;1
8;2;1;0.2;1.575;1.009592;1
9;0;1;0.2;1.575;1.205734;1
10;3;1;0.2;1.575;1.191465;1
11;3;1;0.2;0.7875;0.7875;0
12;3;1;0.2;1.18125;0.7190628;1
13;1;1;0.2;1.18125;1.18125;0
14;3;1;0.2;1.378125;1.315117;1
15;0;1;0.2;1.378125;1.378125;0
16;0;1;0.2;1.476563;0.8530502;1
17;2;1;0.2;1.476563;1.350327;1
18;2;1;0.2;1.476563;0.9579964;1
19;2;1;0.2;0.7382813;0.7382813;0
20;0;1;0.2;1.107422;1.107422;0
21;0;1;0.2;1.341211;1.341211;0
22;0;1;0.2;1.458105;0.8568726;1
23;1;1;0.2;1.458105;1.458105;0
24;0;1;0.2;1.516553;1.228909;1
25;0;1;0.2;1.516553;1.286736;1
26;3;1;0.2;1.516553;1.516553;0
27;3;1;0.2;1.545776;1.120514;1
28;3;1;0.2;1.545776;1.133835;1
29;3;1;0.2;1.545776;1.051254;1
30;1;1;0.2;0.7728882;0.7728882;0
31;2;1;0.2;1.159332;1.159332;0
32;1;1;0.2;1.367166;1.208122;1
33;2;1;0.2;1.367166;1.286312;1
34;0;1;0.2;1.367166;1.198364;1
35;3;1;0.2;0.683583;0.683583;0
36;2;1;0.2;1.025375;1.025375;0
37;2;1;0.2;1.300187;1.039146;1
38;0;1;0.2;1.300187;1.236343;1
39;1;1;0.2;1.300187;0.9332657;1
40;1;1;0.2;0.6500936;0.6500936;0
41;2;1;0.2;0.9751405;0.9751405;0
42;1;1;0.2;1.27507;0.7999802;1
43;1;1;0.2;1.27507;1.27507;0
44;1;1;0.2;1.425035;0.7278366;1
45;2;1;0.2;1.425035;1.190826;1
46;3;1;0.2;1.425035;0.7874374;1
47;2;1;0.2;0.7125175;0.7125175;0
48;0;1;0.2;1.068776;1.068776;0
49;2;1;0.2;1.321888;0.7731094;1
50;2;1;0.2;1.321888;0.8595505;1
51;3;1;0.2;1.321888;0.8836594;1
52;3;1;0.2;0.660944;0.660944;0
53;3;1;0.2;0.9914161;0.9656372;1
54;3;1;0.2;0.9914161;0.9914161;0
55;3;1;0.2;1.156652;1.156652;0
56;2;1;0.2;1.365826;1.365826;0
57;3;1;0.2;1.470413;1.470413;0
58;1;1;0.2;2.310206;1.27224;1
59;3;1;0.2;2.310206;1.129814;1
60;1;1;0.2;2.310206;0.9463272;1
61;0;1;0.2;1.155103;1.155103;0
62;0;1;0.2;1.732655;0.9774704;1
63;2;1;0.2;1.732655;1.19622;1
64;2;1;0.2;1.732655;1.226395;1
65;2;1;0.2;0.8663274;0.8663274;0
66;1;1;0.2;1.299491;1.299491;0
67;1;1;0.2;1.804849;0.8977966;1
68;2;1;0.2;1.804849;0.9851151;1
69;2;1;0.2;1.804849;1.356903;1
70;1;1;0.2;0.9024244;0.9024244;0
71;0;1;0.2;1.353637;1.353637;0
72;3;1;0.2;1.831922;1.56572;1
73;2;1;0.2;1.831922;1.575432;1
74;3;1;0.2;1.831922;1.149223;1
75;2;1;0.2;0.9159608;0.7566147;1
76;1;1;0.2;0.9159608;0.9159608;0
77;0;1;0.2;1.373941;1.076927;1
78;0;1;0.2;1.373941;0.7859192;1
79;0;1;0.2;1.373941;0.7899017;1
80;1;1;0.2;0.6869706;0.6869706;0
81;3;1;0.2;1.030456;1.030456;0
82;0;1;0.2;1.431189;1.189331;1
83;1;1;0.2;1.431189;1.431189;0
84;0;1;0.2;1.631555;0.9635925;1
85;3;1;0.2;1.631555;0.8971863;1
86;2;1;0.2;1.631555;1.390457;1
87;3;1;0.2;0.8157775;0.7999725;1
88;3;1;0.2;0.8157775;0.8157775;0
89;2;1;0.2;1.223666;1.223666;0
90;3;1;0.2;1.527794;0.9516907;1
91;1;1;0.2;1.527794;1.173508;1
92;1;1;0.2;1.527794;1.019089;1
93;3;1;0.2;0.7638969;0.7638969;0
94;0;1;0.2;1.145845;1.145845;0
95;1;1;0.2;1.488883;1.488883;0
96;3;1;0.2;1.660403;0.9078064;1
97;0;1;0.2;1.660403;1.290237;1
98;3;1;0.2;1.660403;0.9486237;1
99;2;1;0.2;0.8302013;0.8302013;0
100;1;1;0.2;1.245302;1.029633;1
101;3;1;0.2;1.245302;1.191269;1
102;1;1;0.2;1.245302;1.062454;1
103;0;1;0.2;0.622651;0.622651;0
104;2;1;0.2;0.9339765;0.9339765;0
105;0;1;0.2;1.297189;0.8670044;1
106;0;1;0.2;1.297189;0.9348755;1
107;2;1;0.2;1.297189;1.230362;1
108;3;1;0.2;0.6485947;0.6485947;0
109;2;1;0.2;0.9728921;0.9728921;0
110;0;1;0.2;1.316647;0.6147156;1
111;0;1;0.2;1.316647;1.316647;0
112;0;1;0.2;1.488525;0.9149017;1
113;2;1;0.2;1.488525;1.488525;0
114;0;1;0.2;1.574464;1.079742;1
115;2;1;0.2;1.574464;1.528839;1
116;2;1;0.2;1.574464;1.205719;1
117;1;1;0.2;0.7872319;0.7872319;0
